1,105619,197.4750,531,2
2,105619,197.4200,417,2
3,105620,197.4200,108,2
4,105620,197.4400,182,2
5,105620,197.4200,743,2
6,105621,197.4400,381,2
7,105621,197.4900,202,2
8,105621,197.4950,1085,2
9,105622,197.5099,447,2
10,105622,197.5200,215,2
11,105622,197.5499,183,2
12,105622,197.5400,606,2
13,105622,197.5000,288,2
14,105622,197.5184,201,2
15,105622,197.5000,247,2
16,105623,197.5162,267,2
17,105623,197.5400,110,2
18,105623,197.5900,238,2
19,105623,197.6150,275,2
20,105623,197.6000,132,2
21,105624,197.6000,172,2
22,105624,197.6101,311,2
23,105624,197.6200,630,2
24,105624,197.6199,101,2
25,105625,197.6000,422,2
26,105625,197.5987,1115,2
27,105625,197.5700,2058,2
28,105625,197.4900,2800,2
29,105625,197.4800,262,2
30,105626,197.4800,13,2
31,105626,197.4813,345,2
32,105626,197.5399,4697,2
33,105626,197.5421,161,2
34,105626,197.5200,140,2
35,105626,197.5400,229,2
36,105627,197.5400,115,2
37,105627,197.4900,939,2
38,105627,197.4850,595,2
39,105628,197.4850,115,2
40,105628,197.5100,240,2
41,105628,197.4962,250,2
42,105628,197.5150,326,2
43,105628,197.5100,111,2
44,105629,197.5300,100,2
45,105629,197.5150,152,2
46,105629,197.4950,503,2
47,105629,197.5000,209,2
48,105630,197.5100,114,2
49,105630,197.4900,1001,2
50,105630,197.5100,331,2
51,105630,197.5100,297,2
52,105630,197.5200,1532,2
53,105630,197.4710,400,2
54,105631,197.4800,303,2
55,105631,197.4200,1205,2
56,105631,197.4288,183,2
57,105632,197.4288,88,2
58,105632,197.4101,100,2
59,105632,197.4250,150,2
60,105632,197.4100,186,2
61,105632,197.4100,824,2
62,105633,197.4200,56,2
63,105633,197.4300,117,2
64,105633,197.4000,343,2
65,105634,197.4100,222,2
66,105634,197.4400,859,2
67,105635,197.4399,286,2
68,105635,197.3911,298,2
69,105635,197.3800,459,2
70,105636,197.3692,33,2
71,105636,197.3900,118,2
72,105636,197.4600,1942,2
73,105636,197.4950,240,2
