2,095114,412.4900,101,2
3,095114,412.5100,101,2
4,095114,412.5300,103,2
5,095114,412.5301,310,2
6,095115,412.5500,1300,2
7,095116,412.5500,813,2
8,095116,412.5200,504,2
9,095116,412.4900,117,2
10,095117,412.5000,240,2
11,095117,412.6200,510,2
12,095117,412.6000,493,2
13,095117,412.6099,2190,2
14,095117,412.6099,199,2
15,095118,412.6099,17,2
16,095118,412.6100,600,2
17,095118,412.6000,200,2
18,095119,412.6200,100,2
19,095119,412.6050,636,2
20,095119,412.5950,301,2
21,095119,412.6200,302,2
22,095120,412.6200,200,2
23,095120,412.6200,319,2
24,095120,412.6350,142,2
25,095120,412.6400,500,2
26,095121,412.6100,101,2
27,095121,412.6200,1000,2
28,095121,412.6100,200,2
29,095121,412.6000,101,2
30,095121,412.6200,200,2
31,095122,412.6200,45,2
32,095122,412.6100,132,2
33,095122,412.6000,600,2
34,095123,412.6000,1,2
35,095123,412.6200,148,2
36,095123,412.6100,361,2
37,095123,412.5900,352,2
38,095123,412.4900,800,2
39,095123,412.5200,912,2
40,095124,412.5300,445,2
41,095124,412.5100,100,2
42,095124,412.5200,317,2
43,095125,412.5200,110,2
44,095125,412.5200,790,2
45,095125,412.5100,109,2
46,095125,412.4900,480,2
47,095126,412.4600,201,2
48,095126,412.4900,163,2
49,095126,412.5050,100,2
50,095127,412.5150,200,2
51,095127,412.5400,300,2
52,095127,412.5500,202,2
53,095127,412.5550,100,2
54,095127,412.5500,150,2
55,095127,412.5550,101,2
56,095128,412.5400,200,2
57,095128,412.5600,100,2
58,095128,412.5400,386,2
59,095128,412.5350,389,2
60,095128,412.5300,550,2
61,095129,412.5600,100,2
62,095129,412.5500,514,2
63,095130,412.5500,30,2
64,095130,412.5000,902,2
65,095130,412.4700,113,2
66,095131,412.4700,15,2
67,095131,412.5000,100,2
68,095131,412.4800,174,2
69,095132,412.4800,116,2
70,095132,412.4799,110,2
71,095133,412.4799,1,2
72,095133,412.4800,102,2
73,095133,412.4700,101,2
74,095134,412.4700,8,2
75,095134,412.4900,101,2
76,095134,412.5100,101,2
77,095135,412.5100,100,2
78,095135,412.5000,125,2
79,095135,412.4900,200,2
80,095136,412.5100,500,2
81,095136,412.4901,375,2
82,095136,412.5500,100,2
83,095137,412.5500,100,2
84,095137,412.5600,101,2
85,095137,412.5534,400,2
86,095138,412.5534,56,2
87,095139,412.5534,120,2
88,095139,412.5100,140,2
89,095139,412.5650,101,2
90,095140,412.5400,544,2
91,095140,412.5600,1414,2
92,095140,412.5200,115,2
93,095141,412.4900,100,2
94,095141,412.4600,249,2
95,095142,412.4300,100,2
96,095142,412.4500,3500,2
97,095142,412.4550,400,2
98,095142,412.4600,200,2
99,095142,412.4700,101,2
100,095143,412.4700,10,2
101,095143,412.4600,200,2
102,095143,412.4500,465,2
103,095144,412.4500,324,2
104,095144,412.4600,103,2
105,095144,412.4700,310,2
106,095144,412.4800,200,2
107,095144,412.5100,110,2
108,095145,412.4450,128,2
109,095145,412.4300,416,2
110,095145,412.4400,101,2
111,095146,412.4400,260,2
112,095146,412.4100,200,2
113,095146,412.4100,1500,2
114,095146,412.4300,342,2
115,095147,412.3900,101,2
116,095147,412.4000,164,2
117,095147,412.3600,1057,2
118,095148,412.3600,13,2
119,095148,412.3606,1252,2
120,095148,412.3700,100,2
121,095149,412.3700,244,2
122,095149,412.3900,194,2
123,095149,412.4000,691,2
124,095150,412.4000,1,2
125,095150,412.4300,106,2
126,095150,412.4500,700,2
127,095150,412.4100,103,2
128,095151,412.4100,4,2
129,095152,412.4100,486,2
130,095152,412.3500,148,2
131,095152,412.3300,781,2
132,095152,412.3500,348,2
133,095153,412.3520,280,2
134,095153,412.3200,113,2
135,095154,412.3200,17,2
136,095154,412.3000,103,2
137,095154,412.2903,266,2
138,095154,412.2800,140,2
139,095154,412.2810,100,2
140,095155,412.2900,240,2
141,095155,412.2810,1880,2
142,095155,412.2900,201,2
143,095156,412.3000,276,2
144,095157,412.3200,125,2
145,095158,412.3400,355,2
